root_package,K,func_precision_cross_level,func_precision_method_only,func_precision_ecosystem_only,n_cve_functions,n_total_methods
express,3,0.0,0.0,0.0,1,50
express,5,0.0,0.0,0.0,1,50
express,10,0.0,0.0,0.0,1,50
axios,3,0.0,0.0,0.0,5,50
axios,5,0.0,0.0,0.0,5,50
axios,10,0.0,0.0,0.0,5,50
minimatch,3,0.0,0.0,0.0,1,26
minimatch,5,0.2,0.2,0.0,1,26
minimatch,10,0.1,0.1,0.0,1,26
glob,3,0.0,0.0,0.0,2,50
glob,5,0.0,0.0,0.0,2,50
glob,10,0.0,0.0,0.0,2,50
requests,3,0.0,0.0,0.0,36,50
requests,5,0.0,0.0,0.0,36,50
requests,10,0.0,0.0,0.0,36,50
fastapi,3,0.0,0.0,0.0,20,50
fastapi,5,0.0,0.0,0.0,20,50
fastapi,10,0.0,0.0,0.0,20,50
body-parser,3,0.0,0.0,0.0,1,50
body-parser,5,0.0,0.0,0.0,1,50
body-parser,10,0.0,0.0,0.0,1,50
