root_package,jaccard_log2,jaccard_sqrt,jaccard_linear
express,1.0,0.2,0.2
axios,1.0,0.5,0.5
debug,1.0,1.0,1.0
minimatch,1.0,1.0,1.0
qs,1.0,1.0,1.0
glob,1.0,1.0,1.0
yargs,1.0,1.0,1.0
requests,1.0,1.0,1.0
click,1.0,1.0,1.0
pydantic,1.0,1.0,1.0
fastapi,1.0,0.5,0.5
httpx,1.0,1.0,1.0
body-parser,1.0,0.5,0.5
raw-body,1.0,1.0,1.0
type-is,1.0,1.0,1.0
send,1.0,1.0,1.0
serve-static,1.0,0.5,0.2
accepts,1.0,1.0,1.0
finalhandler,1.0,0.5,0.5
http-errors,1.0,1.0,1.0
on-finished,1.0,1.0,1.0
